,City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed
381,santa rosa,75,PH,1579796442,74,78.8,14.31,121.11,6.93
382,buin,47,CL,1579796416,44,77.0,-33.73,-70.75,5.82
383,chhuikhadan,43,IN,1579796442,46,70.18,21.53,80.98,9.22
384,udomlya,100,RU,1579796442,85,24.26,57.88,34.99,11.21
385,rio grande,75,BR,1579796442,54,84.2,-32.03,-52.1,13.87
386,khandyga,45,RU,1579796223,99,-35.52,62.67,135.6,1.05
387,smoky lake,93,CA,1579796443,93,6.01,54.12,-112.47,1.01
388,wynyard,14,AU,1579796443,93,52.0,-41.0,145.72,8.01
389,sambava,100,MG,1579796443,99,75.45,-14.27,50.17,1.74
390,lavrentiya,0,RU,1579796443,78,-14.75,65.58,-171.0,3.2
391,diego de almagro,58,CL,1579796443,37,77.18,-26.37,-70.05,8.68
392,moncton,75,CA,1579796444,86,33.8,46.12,-64.8,18.34
393,quelimane,97,MZ,1579796444,72,81.09,-17.88,36.89,11.63
394,salina,90,US,1579796162,86,39.2,38.84,-97.61,12.75
395,batticaloa,39,LK,1579796431,89,75.69,7.71,81.69,4.92
396,port blair,84,IN,1579796393,77,80.73,11.67,92.75,13.71
397,araguacu,100,BR,1579796444,96,74.05,-12.93,-49.83,6.93
398,agadez,10,NE,1579796444,9,79.97,19.75,10.25,5.5
399,iqaluit,40,CA,1579796444,67,-23.01,63.75,-68.51,23.04
400,ndola,100,ZM,1579796445,89,72.81,-12.96,28.64,2.95
401,north branch,90,US,1579796390,97,33.01,45.51,-92.98,5.82
402,itoman,75,JP,1579796445,88,69.8,26.12,127.67,3.36
403,garwa,12,IN,1579796445,46,57.52,24.18,83.82,5.66
404,poya,0,NC,1579796445,77,77.27,-21.35,165.15,5.06
405,lixourion,20,GR,1579796445,82,55.4,38.2,20.43,6.93
406,sindhnur,0,IN,1579796446,39,75.47,15.78,76.77,5.03
407,sabang,100,ID,1579796223,79,82.53,5.89,95.32,13.42
408,almeirim,100,BR,1579796446,45,89.6,-1.52,-52.58,5.41
409,amarante do maranhao,100,BR,1579796446,84,81.81,-5.57,-46.74,1.01
410,vanimo,95,PG,1579796446,77,82.78,-2.67,141.3,6.17
411,baghdad,75,IQ,1579796283,66,55.4,33.34,44.4,3.36
412,belmonte,90,BR,1579796446,94,80.6,-15.86,-38.88,11.41
413,flinders,90,AU,1579796447,41,80.01,-34.58,150.86,14.99
414,sosnovo-ozerskoye,0,RU,1579796447,89,-15.34,52.52,111.54,5.73
415,kamyaran,75,IR,1579796447,74,35.6,34.8,46.94,6.93
416,ahipara,3,NZ,1579796447,100,60.01,-35.17,173.17,7.16
417,elk city,75,US,1579796447,80,44.01,35.41,-99.4,20.8
418,lavumisa,18,SZ,1579796447,48,84.2,-27.31,31.89,9.17
419,am timan,0,TD,1579796447,7,87.94,11.03,20.28,6.76
420,tshikapa,100,CD,1579796448,67,84.07,-6.42,20.8,5.82
421,champerico,5,GT,1579796435,58,84.2,14.3,-91.92,6.93
422,okhotsk,96,RU,1579796448,86,-16.8,59.38,143.3,5.99
423,deputatskiy,66,RU,1579796195,94,-29.07,69.3,139.9,2.64
424,ko samui,20,TH,1579796408,78,82.4,9.54,99.94,9.17
425,lexington,20,US,1579796316,33,46.4,37.99,-84.48,9.17
426,srednekolymsk,100,RU,1579796449,97,-34.58,67.45,153.68,6.62
427,vanavara,33,RU,1579796449,95,-14.49,60.34,102.28,4.92
428,olavarria,0,AR,1579796449,63,82.99,-36.89,-60.32,4.0
429,khasan,0,RU,1579796449,60,17.08,42.43,130.64,14.97
430,roebourne,0,AU,1579796449,47,86.95,-20.78,117.13,12.86
431,sonoita,0,MX,1579796449,73,55.0,31.85,-112.83,5.75
432,tura,0,IN,1579796450,49,57.15,25.52,90.22,1.45
433,bonavista,0,CA,1579796450,80,19.99,48.65,-53.11,18.01
434,bella vista,90,US,1579796450,100,37.4,36.43,-94.23,5.82
435,asau,0,RO,1579796450,59,34.0,46.43,26.4,10.29
436,guangyuan,100,CN,1579796450,62,51.01,32.44,105.82,5.88
437,atambua,80,ID,1579796450,84,76.01,-9.11,124.89,1.14
438,kimbe,100,PG,1579796450,95,75.13,-5.55,150.14,1.99
439,juneau,90,US,1579796451,96,34.0,58.3,-134.42,6.22
440,sanming,60,CN,1579796451,88,60.15,26.25,117.62,2.82
441,mount gambier,40,AU,1579796451,81,53.6,-37.83,140.77,9.17
442,kesinga,46,IN,1579796451,46,72.61,20.2,83.23,3.44
443,conway,90,US,1579796152,93,41.0,35.09,-92.44,8.05
444,kinlochleven,100,GB,1579796451,93,48.0,56.71,-4.97,1.01
445,da nang,75,VN,1579796451,83,77.0,16.07,108.22,4.7
446,northam,90,GB,1579796403,93,43.0,51.03,-4.22,4.7
447,correntina,100,BR,1579796452,95,70.97,-13.34,-44.64,5.93
448,tolaga bay,0,NZ,1579796452,73,67.64,-38.37,178.3,8.39
449,ulladulla,90,AU,1579796452,41,79.0,-35.35,150.47,14.99
450,priargunsk,0,RU,1579796452,76,-17.41,50.37,119.1,3.87
451,hanzhong,100,CN,1579796452,66,45.5,33.07,107.03,8.12
452,marsaxlokk,75,MT,1579796452,67,57.99,35.84,14.54,9.17
453,oussouye,100,SN,1579796453,74,86.0,12.48,-16.55,2.24
454,beroroha,100,MG,1579796453,67,80.64,-21.67,45.17,6.85
455,nantucket,1,US,1579796385,71,44.6,41.28,-70.1,10.29
456,egvekinot,8,RU,1579796453,100,-23.51,66.32,-179.17,0.83
457,codrington,95,AU,1579796393,70,60.33,-38.27,141.97,28.05
458,ligayan,6,PH,1579796453,80,81.63,4.65,119.47,10.67
459,loukhi,88,RU,1579796453,90,7.12,66.08,33.04,3.85
460,paciran,90,ID,1579796454,87,78.4,-6.88,112.38,2.3
461,pampa,75,US,1579796285,60,44.6,35.54,-100.96,8.05
462,strezhevoy,90,RU,1579796454,85,23.0,60.73,77.59,11.18
463,abnub,0,EG,1579796454,58,57.2,27.27,31.15,12.75
464,paracatu,100,BR,1579796454,94,68.5,-17.22,-46.87,8.32
465,gunupur,35,IN,1579796454,73,68.05,19.08,83.82,3.74
466,namie,36,JP,1579796455,94,39.99,37.48,141.0,1.99
467,eyl,23,SO,1579796455,84,78.4,7.98,49.82,23.78
468,senneterre,90,CA,1579796455,100,30.2,48.38,-77.23,4.7
469,prescott valley,1,US,1579796399,80,46.4,34.59,-112.33,3.36
470,port lincoln,0,AU,1579796455,67,58.5,-34.73,135.87,10.36
471,fremont,75,US,1579796455,87,52.0,37.55,-121.99,1.92
472,jishu,0,CN,1579796455,90,-1.97,44.32,126.8,8.43
473,praia da vitoria,40,PT,1579796201,72,60.8,38.73,-27.07,14.29
474,albion,90,US,1579796456,59,35.6,42.24,-84.75,9.17
475,chamalieres,100,FR,1579796456,80,41.0,45.78,3.06,2.24
476,half moon bay,1,US,1579796456,93,52.0,37.46,-122.43,5.82
477,praia,3,CV,1579796456,51,82.4,14.92,-23.51,18.34
478,ngama,0,TD,1579796456,7,86.92,11.78,17.17,14.56
479,jinxiang,0,CN,1579796456,90,66.94,22.86,115.7,0.76
480,mugla,0,TR,1579796457,37,59.0,37.23,28.36,13.87
481,san pedro,75,PH,1579796457,74,78.8,14.35,121.02,6.93
482,enid,1,US,1579796457,100,43.0,36.4,-97.88,17.22
483,kichera,99,RU,1579796457,93,-12.93,55.94,110.1,3.22
484,hakui,75,JP,1579796457,93,48.2,36.88,136.78,3.36
485,bereda,26,ES,1579796457,62,55.4,43.27,-7.54,2.24
486,wanning,32,CN,1579796458,81,70.99,18.8,110.4,5.66
487,marienburg,90,PL,1579796458,93,39.99,54.04,19.03,14.99
488,teguise,20,ES,1579796458,56,69.8,29.06,-13.56,10.29
489,palmares do sul,2,BR,1579796458,61,78.76,-30.26,-50.51,14.27
490,vendome,85,FR,1579796458,86,39.2,47.8,1.07,10.29
491,vila do maio,0,CV,1579796458,51,82.4,15.13,-23.22,18.34
492,touros,75,BR,1579796459,70,86.0,-5.2,-35.46,14.99
493,walvis bay,15,NA,1579796410,57,75.2,-22.96,14.51,14.99
494,peniche,20,PT,1579796337,76,55.99,39.36,-9.38,4.7
495,henties bay,0,NA,1579796459,82,72.0,-22.12,14.28,5.01
496,mpika,100,ZM,1579796459,97,64.38,-11.83,31.45,4.0
497,garissa,100,KE,1579796459,34,93.51,-0.45,39.64,6.62
498,eirunepe,97,BR,1579796460,55,90.52,-6.66,-69.87,2.55
499,carandai,90,BR,1579796343,93,66.2,-20.95,-43.81,3.36
500,labuhan,59,ID,1579796460,85,78.46,-6.88,112.21,2.35
501,encruzilhada do sul,24,BR,1579796460,47,81.16,-30.54,-52.52,9.4
502,chabahar,67,IR,1579796460,68,69.96,25.29,60.64,11.14
503,biak,100,ID,1579796460,68,82.11,-0.91,122.88,7.23
504,sao joao da barra,100,BR,1579796427,55,86.0,-21.64,-41.05,7.07
505,san cristobal,40,VE,1579796461,78,78.8,7.77,-72.22,4.7
506,porto novo,20,BJ,1579796461,70,87.8,6.5,2.6,9.17
507,kundiawa,100,PG,1579796461,99,56.68,-6.02,144.97,1.07
508,menomonie,90,US,1579796461,86,33.01,44.88,-91.92,4.7
509,kigoma,100,TZ,1579796461,68,78.06,-4.88,29.63,5.7
510,turayf,75,SA,1579796461,75,46.4,31.67,38.66,11.41
511,oksfjord,90,NO,1579796462,86,30.2,70.24,22.35,17.22
512,sungaipenuh,90,ID,1579796462,98,64.83,-2.08,101.38,2.08
513,savannah bight,98,HN,1579796462,72,75.76,16.45,-85.85,13.09
514,aranda de duero,45,ES,1579796462,55,48.07,41.67,-3.69,6.76
515,lake havasu city,1,US,1579796360,54,55.4,34.48,-114.32,5.82
516,totma,95,RU,1579796462,88,17.87,59.97,42.76,9.1
517,hambantota,0,LK,1579796438,94,80.6,6.12,81.12,11.41
518,conde,75,BR,1579796209,79,84.2,-7.26,-34.91,9.17
519,kudahuvadhoo,98,MV,1579796463,82,83.41,2.67,72.89,21.45
520,ust-nera,91,RU,1579796463,99,-36.18,64.57,143.2,1.21
521,mishan,0,CN,1579796463,79,3.06,45.55,131.88,10.6
522,kalabo,88,ZM,1579796384,58,82.09,-14.97,22.68,6.31
523,kirkwall,90,GB,1579796463,93,50.0,58.98,-2.96,23.04
524,ulaangom,100,MN,1579796464,88,-4.18,49.98,92.07,2.59
525,tigzirt,0,DZ,1579796464,78,57.24,36.89,4.12,11.16
526,dafeng,6,CN,1579796464,92,63.5,23.45,108.59,3.85
527,kiruna,75,SE,1579796464,92,24.8,67.86,20.23,18.34
528,hovd,31,MN,1579796384,54,7.45,48.01,91.64,5.01
529,mnogovershinnyy,35,RU,1579796464,95,-10.79,53.94,139.92,1.12
530,caravelas,100,BR,1579796385,81,78.85,-17.71,-39.25,20.42
531,batemans bay,36,AU,1579796465,79,66.99,-35.72,150.18,7.0
532,koudougou,69,BF,1579796465,6,100.65,12.25,-2.37,15.05
533,bambous virieux,75,MU,1579796465,74,84.2,-20.34,57.76,3.36
534,ishimbay,97,RU,1579796465,96,17.15,53.45,56.04,5.53
535,khromtau,100,KZ,1579796465,97,28.83,50.25,58.43,11.21
536,petrovsk,82,RU,1579796465,93,20.01,52.31,45.39,9.66
537,tsiroanomandidy,56,MG,1579796466,83,74.64,-18.77,46.03,3.89
538,baglan,40,AF,1579796466,40,36.45,36.13,68.71,5.53
539,kahului,1,US,1579796322,82,64.99,20.89,-156.47,4.7
540,dunedin,0,NZ,1579796225,93,57.99,-45.87,170.5,1.01
541,yaan,65,NG,1579796466,7,98.98,7.38,8.57,11.36
542,belyy yar,100,RU,1579796466,84,6.8,53.6,91.39,5.39
543,halifax,90,CA,1579796201,80,36.0,44.65,-63.57,12.75
544,fukue,90,JP,1579796467,87,57.2,32.69,128.84,9.17
545,coari,100,BR,1579796467,96,77.49,-4.08,-63.14,4.07
546,mao,20,ES,1579796467,77,59.0,39.89,4.27,1.12
547,saint-augustin,100,CA,1579796268,90,26.29,51.23,-58.65,20.92
548,preobrazheniye,24,RU,1579796467,65,21.04,42.9,133.91,7.78
549,hauterive,100,FR,1579796467,80,41.0,46.09,3.45,2.24
550,kamenka,88,RU,1579796468,89,27.0,51.32,42.77,8.01
551,wajima,100,JP,1579796436,86,50.4,37.4,136.9,14.5
552,borogontsy,100,RU,1579796468,98,-25.08,62.67,131.17,3.0
553,riyadh,20,SA,1579796320,33,57.2,24.69,46.72,10.29
554,severodvinsk,40,RU,1579796468,86,26.6,64.56,39.83,8.95
555,jiazi,0,CN,1579796468,90,66.56,22.88,116.07,4.52
556,timbiqui,27,CO,1579796468,75,82.2,2.77,-77.67,4.05
557,chokwe,90,MZ,1579796468,58,84.0,-24.53,32.98,8.86
558,yuancheng,100,CN,1579796469,69,25.27,36.65,107.79,3.76
559,seoul,1,KR,1579796196,92,37.4,37.57,126.98,1.12
560,nambucca heads,100,AU,1579796469,88,80.01,-30.65,153.0,12.75
561,palmeira das missoes,83,BR,1579796469,77,70.75,-27.9,-53.31,15.48
562,muli,97,MV,1579796410,82,83.75,2.92,73.57,20.51
563,gambela,70,ET,1579796469,17,94.55,8.25,34.58,6.46
564,saint george,1,US,1579796296,93,39.99,37.1,-113.58,0.83
565,srandakan,100,ID,1579796470,89,76.87,-7.94,110.25,3.89
566,vestmannaeyjar,20,IS,1579796470,65,32.0,63.44,-20.27,34.45
567,lima,90,PE,1579796410,69,78.8,-12.04,-77.03,8.05
568,ukiah,90,US,1579796470,100,48.0,39.15,-123.21,2.1
569,ixtapa,90,MX,1579796470,78,77.0,20.7,-105.2,0.51
570,monrovia,75,LR,1579796235,63,91.4,6.3,-10.8,4.7
