,City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed
87,guerrero negro,0,MX,1579796395,81,57.56,27.98,-114.06,3.56
88,thompson,40,CA,1579796208,83,-4.0,55.74,-97.86,3.36
89,bredasdorp,42,ZA,1579796395,60,72.0,-34.53,20.04,19.46
90,pemagatsel,100,BT,1579796395,96,43.02,27.03,91.43,1.14
91,corsicana,90,US,1579796395,93,50.0,32.1,-96.47,10.29
92,cine,0,TR,1579796396,37,51.8,37.61,28.06,13.87
93,soma,40,TR,1579796396,60,42.8,39.19,27.61,11.41
94,provideniya,0,RU,1579796396,79,-14.28,64.38,-173.3,2.17
95,sergeyevka,82,KZ,1579796396,91,23.38,53.88,67.42,9.46
96,arraial do cabo,75,BR,1579796297,78,80.6,-22.97,-42.03,8.05
97,najran,40,SA,1579796396,32,69.8,17.49,44.13,6.93
98,fort nelson,90,CA,1579796397,84,3.2,58.81,-122.7,3.87
99,georgetown,20,MY,1579796100,74,84.2,5.41,100.34,2.24
100,yellowknife,40,CA,1579796395,76,-11.0,62.46,-114.35,6.93
101,hilo,20,US,1579796397,63,66.2,19.73,-155.09,8.05
102,mataura,2,NZ,1579796109,92,54.0,-46.19,168.86,1.01
103,lagoa,100,PT,1579796162,72,56.64,39.05,-27.98,11.63
104,samfya,91,ZM,1579796397,84,73.06,-11.36,29.56,2.24
105,guanica,90,PR,1579796397,74,84.0,17.97,-66.91,11.41
106,eureka,90,US,1579796134,81,57.0,40.8,-124.16,3.06
107,nuuk,100,GL,1579796398,67,23.0,64.18,-51.72,36.91
108,hermanus,0,ZA,1579796326,66,82.0,-34.42,19.23,15.99
109,cancun,20,MX,1579796298,69,75.0,21.17,-86.85,8.05
110,laguna,1,US,1579796398,93,48.99,38.42,-121.42,3.36
111,tadine,0,NC,1579796398,79,73.26,-21.55,167.88,7.72
112,sao filipe,3,CV,1579796399,66,74.95,14.9,-24.5,13.13
113,buckeye,5,US,1579796100,87,53.01,33.37,-112.58,4.7
114,naze,100,JP,1579796399,100,66.2,28.37,129.48,3.36
115,karpathos,40,GR,1579796399,58,57.2,35.51,27.21,20.8
116,sukhinichi,77,RU,1579796287,75,21.51,54.1,35.34,11.5
117,sadovoye,100,RU,1579796399,75,29.55,47.78,44.51,14.52
118,namibe,75,AO,1579796399,74,78.8,-15.2,12.15,13.87
119,monte azul,100,BR,1579796399,94,68.81,-15.15,-42.87,9.28
